number,state,value,parameter
0,COMPLETE,0.381177431344,1.0723040420587329
1,COMPLETE,0.475236648624,1.8790418372675335
2,PRUNED,0.413954160771,0.6683775438715696
3,PRUNED,0.408843208583,0.6342827832827276
4,COMPLETE,0.482844600383,1.9575224464978944
5,COMPLETE,0.487891169531,1.9513567743711688
