number,state,value,parameter
0,COMPLETE,0.220022579337,0.08867648504704795
1,COMPLETE,0.341224269317,0.18548502047210402
2,PRUNED,0.20990357447,0.04020530526458835
3,PRUNED,0.207775619742,0.0361139339939273
4,COMPLETE,0.343523469094,0.19490269357974735
5,COMPLETE,0.3433524527,0.19416281292454027
