number,state,value,parameter
0,COMPLETE,0.336347485193,2.526144112156621
1,COMPLETE,0.42327967515,4.67744489938009
2,PRUNED,0.366625034571,1.4490067836575187
3,PRUNED,0.375514859178,1.3580874220872734
4,COMPLETE,0.437155896986,4.886726523994385
5,COMPLETE,0.431244245936,4.870284731656451
